year,avg_temp
1816,24.69
1817,22.74
1818,23.43
1819,22.83
1820,24.22
1821,23.71
1822,23.81
1823,24.41
1824,
1825,
1826,
1827,
1828,
1829,
1830,
1831,
1832,
1833,23.73
1834,23.73
1835,22.86
1836,22.74
1837,24.37
1838,27.70
1839,
1840,23.52
1841,24.03
1842,25.04
1843,23.71
1844,23.23
1845,23.49
1846,24.15
1847,23.62
1848,23.27
1849,23.43
1850,23.59
1851,23.61
1852,23.56
1853,23.66
1854,23.86
1855,24.35
1856,22.86
1857,23.20
1858,
1859,
1860,
1861,
1862,
1863,
1864,
1865,
1866,
1867,
1868,
1869,
1870,23.88
1871,23.79
1872,23.89
1873,24.02
1874,23.30
1875,24.29
1876,23.58
1877,23.75
1878,23.67
1879,24.00
1880,24.66
1881,24.31
1882,23.85
1883,23.79
1884,23.57
1885,23.20
1886,23.73
1887,23.83
1888,23.92
1889,23.95
1890,23.73
1891,23.37
1892,24.46
1893,22.92
1894,23.54
1895,24.23
1896,24.62
1897,23.81
1898,24.37
1899,24.69
1900,24.24
1901,24.06
1902,24.58
1903,23.66
1904,24.18
1905,23.59
1906,24.02
1907,23.72
1908,23.83
1909,23.51
1910,23.53
1911,24.07
1912,24.10
1913,23.61
1914,23.70
1915,24.82
1916,23.99
1917,23.16
1918,24.00
1919,23.86
1920,23.78
1921,25.08
1922,24.17
1923,23.72
1924,23.71
1925,23.73
1926,23.46
1927,23.65
1928,24.28
1929,24.01
1930,23.65
1931,24.08
1932,24.47
1933,23.69
1934,24.05
1935,23.70
1936,24.11
1937,23.94
1938,24.40
1939,24.20
1940,24.35
1941,25.21
1942,24.34
1943,24.37
1944,23.67
1945,23.77
1946,25.05
1947,25.33
1948,24.38
1949,24.29
1950,23.22
1951,24.29
1952,24.61
1953,24.95
1954,24.35
1955,24.11
1956,24.19
1957,23.45
1958,24.69
1959,24.29
1960,24.28
1961,23.79
1962,24.01
1963,24.52
1964,23.78
1965,23.99
1966,23.99
1967,23.91
1968,23.89
1969,24.66
1970,24.71
1971,24.41
1972,24.06
1973,24.34
1974,24.14
1975,23.64
1976,23.77
1977,24.32
1978,24.29
1979,24.39
1980,24.85
1981,24.63
1982,23.98
1983,23.75
1984,24.52
1985,25.02
1986,24.08
1987,25.05
1988,25.24
1989,24.23
1990,24.81
1991,24.38
1992,24.31
1993,25.04
1994,24.78
1995,24.58
1996,24.43
1997,23.76
1998,24.91
1999,25.50
2000,25.32
2001,25.18
2002,25.61
2003,24.71
2004,25.55
2005,24.66
2006,25.17
2007,25.16
2008,24.89
2009,25.37
2010,25.48
2011,24.98
2012,24.87
2013,25.95
